1769538577256: ,GET: /api/users/1003
1769538593506: ,GET: /api/users/100
1769538633007: GET - /api/users/100
1769538755488: POST - /api/users
1769624401153: GET - /api/users
1769627225161: POST - /api/users
1769627244632: POST - /api/users
1769627500234: GET - /api/users/8890
1769712415341: POST - /api/users
1769712436440: GET - /api/users
1769712446180: GET - /api/users/6
1769712518587: POST - /api/users/6
